"","left_first_type","right_first_type","left_second_type","right_second_type","left_side_won","hp_diff","attack_diff","defense_diff","spatk_diff","spdef_diff","speed_diff"
"39",13,6,14,3,0,33,-30,16,20,51,-45
"40",13,1,18,1,0,10,-10,4,-30,4,-23
"41",13,9,18,1,0,15,-10,15,-29,-5,-22
"42",18,6,10,1,1,44,-11,15,12,35,12
"43",11,16,4,1,1,-25,-43,-2,-55,-15,-50
"44",10,15,18,18,0,-34,-11,-53,-41,-71,-20
"45",15,1,12,1,0,4,-10,-10,5,-20,-29
"46",13,1,12,19,1,-35,6,-26,-31,-14,40
"47",10,15,7,14,0,-6,14,11,-9,34,-26
"48",10,12,13,6,1,-20,64,85,30,60,36
"49",1,17,18,1,0,-110,-55,170,-100,135,-60
"50",10,13,18,7,0,-31,-10,-40,-67,-30,-68
"51",16,18,7,1,0,-15,-33,81,-28,33,-53
"52",15,7,17,10,0,46,40,50,4,50,70
"53",11,1,5,1,1,-1,78,68,1,1,61
"54",12,16,9,11,1,2,-40,-33,35,5,27
"55",11,1,10,1,0,-30,25,-10,-60,-40,-20
"56",7,1,12,1,0,-12,-36,-27,-20,-25,-6
"57",13,1,4,8,0,20,5,-37,-35,-37,-16
"58",1,1,3,1,0,-21,-95,-10,-13,-20,-38
"59",18,9,10,7,1,7,18,-43,-14,25,17
"60",12,9,10,1,1,-21,-10,-3,3,-12,23
"61",18,9,15,1,1,-3,-52,2,-12,72,2
"62",2,1,7,1,1,-13,29,-15,39,-40,5
"63",6,1,10,1,1,49,79,30,7,20,7
"64",1,15,14,12,1,-21,-2,12,-30,-6,27
"65",13,1,18,12,1,-32,20,-15,-25,-15,16
"66",15,1,16,1,1,7,-27,-31,38,35,53
"67",18,3,4,1,1,50,100,55,75,30,45
"68",18,9,10,1,1,-15,-30,5,-5,-30,15
"69",10,1,16,7,0,-11,-47,10,11,10,-28
"70",2,1,6,1,0,-9,-70,-16,15,-73,-21
"71",1,17,7,1,0,-58,-74,152,-99,145,-95
"72",15,1,18,1,1,-9,-16,-23,54,19,70
"73",10,18,10,1,0,-26,-10,16,-86,11,-80
"74",2,1,10,1,0,-11,13,-45,13,-45,-7
"75",3,13,14,12,1,44,68,23,35,15,10
"76",4,1,18,1,1,-90,30,34,5,34,10
"77",17,1,18,13,0,-50,-15,-10,-25,-35,-40
"78",15,1,10,15,1,-5,25,-53,3,-50,35
"79",18,1,13,1,1,-54,-26,12,-1,12,37
"80",13,1,3,16,0,25,45,10,-50,-30,-10
"81",1,9,10,4,0,0,-50,-13,-65,-3,-85
"82",13,9,11,3,0,0,-17,15,1,-5,-22
"83",13,16,18,15,0,20,7,12,48,8,-10
"84",15,1,4,13,0,-5,-35,-57,-40,-57,-41
"85",11,16,14,12,0,-50,-52,-32,-35,-15,-21
"86",7,1,2,10,0,8,-21,-67,-5,-50,60
"87",1,1,7,9,0,-25,-27,-35,-78,-10,-5
"88",18,9,7,1,0,-30,-78,-13,-38,57,-51
"89",9,4,9,1,1,105,20,-35,55,-35,45
"90",17,16,1,18,0,-3,-41,16,24,36,-32
"91",2,18,2,1,0,-50,20,-40,-20,-90,-5
"92",15,6,9,1,0,-16,-50,-10,-18,2,-5
"93",4,18,7,9,0,-8,-11,44,56,21,-66
"94",3,1,2,16,1,8,30,12,33,24,25
"95",16,19,18,1,0,-65,-35,-15,0,-60,-50
"96",7,1,16,7,0,-47,-71,-46,-14,-46,-47
"97",1,18,18,1,0,-25,15,25,-30,-55,-45
"98",7,1,1,11,0,-31,-45,-36,-12,-36,-31
"99",18,1,13,9,1,-10,25,-25,25,-40,15
"100",8,4,11,1,1,-5,10,20,57,40,83
"101",10,6,18,11,1,-20,-23,10,-23,-20,16
"102",18,1,1,9,0,-12,-14,8,-14,11,-55
"103",1,5,11,1,1,5,-53,5,12,5,55
"104",7,1,14,12,0,-37,-44,-33,-27,-31,-24
"105",13,1,3,1,0,-15,-50,-55,-25,-15,0
"106",13,1,4,18,1,50,65,-4,-35,11,70
"107",15,1,3,1,1,-35,-50,-25,25,-55,40
"108",14,9,7,1,1,-30,-45,-10,15,-5,5
"109",7,1,9,8,1,-21,12,-17,-35,-10,10
"110",5,1,13,1,0,-24,-29,-5,36,33,-1
"111",4,1,1,18,1,10,-14,-40,11,-35,9
"112",3,12,13,1,1,-17,-20,-25,5,-35,2
"113",12,19,4,1,0,30,10,30,-10,-5,-50
"114",6,1,10,1,1,25,65,10,30,40,65
"115",17,4,13,19,1,21,35,60,95,40,19
"116",18,9,16,19,1,65,45,-11,5,55,26
"117",1,15,6,1,0,10,-65,-3,5,-55,-42
"118",16,11,3,1,0,5,-43,12,-9,17,-47
"119",17,12,1,9,0,14,-5,155,5,15,-130
"120",10,7,12,1,0,-20,10,0,-60,-20,-30
"121",10,3,14,1,1,15,23,-12,20,0,19
"122",7,1,15,6,1,30,40,75,-15,-50,-70
"123",9,15,16,16,1,-10,10,15,75,10,60
"124",14,3,10,15,1,10,20,45,-65,-30,5
"125",6,1,18,12,1,-30,30,0,-55,0,11
"126",13,1,13,6,1,-56,0,20,-10,15,11
"127",11,1,18,1,0,-35,20,-35,-35,-35,-70
"128",18,9,1,9,0,-10,-60,20,30,-10,-40
"129",10,15,17,17,1,25,10,-15,70,50,20
"130",7,1,7,7,1,-32,-29,3,10,10,25
"131",2,16,18,1,1,6,0,23,3,-5,5
"132",7,1,13,1,1,3,44,23,60,20,5
"133",1,8,16,9,0,-25,-20,-10,-10,-20,-70
"134",13,9,9,3,0,-15,-7,-63,-57,-73,40
"135",16,2,6,1,1,5,45,50,35,45,10
"136",7,12,7,9,0,-36,-30,-20,-5,-79,-50
"137",13,16,10,15,1,25,30,10,15,0,55
"138",7,14,12,9,0,17,-5,13,8,9,-3
"139",3,1,18,9,0,12,80,20,-20,-50,-22
"140",4,8,10,15,1,10,35,72,55,37,31
"141",18,6,15,9,0,33,-7,25,-17,25,-64
"142",18,1,15,1,1,10,74,55,39,10,7
"143",11,1,18,1,0,-45,0,-20,-28,0,50
"144",1,15,14,1,0,-5,-35,-70,-45,-15,-15
"145",16,9,18,9,1,-20,15,-14,52,-35,29
"146",15,1,9,11,1,77,0,72,25,70,47
"147",16,2,15,1,0,-75,25,-70,-35,-80,-10
"148",3,1,15,6,0,-23,-10,-5,-125,-105,-50
"149",16,19,7,7,1,-30,22,50,-5,15,25
"150",15,6,16,3,1,-32,-69,-45,30,15,19
"151",4,18,18,1,1,5,20,50,85,0,-35
"152",1,15,4,1,0,0,-35,-5,-50,-25,-65
"153",7,1,13,1,0,3,4,18,44,-5,-2
"154",1,9,4,1,0,0,-5,-20,10,0,-70
"155",4,11,1,1,1,5,43,47,78,77,57
"156",7,7,18,1,1,-5,40,5,40,-10,10
"157",4,1,18,9,0,-15,-47,-13,-12,22,-3
"158",10,12,15,1,0,-11,-41,35,-119,-35,-84
"159",15,1,2,9,0,0,0,20,50,45,5
"160",1,1,1,18,0,-26,-98,-35,-93,-65,-70
"161",10,3,9,11,1,21,4,-30,16,-15,9
"162",5,1,11,1,1,45,20,-22,55,40,25
"163",14,1,1,9,1,44,15,30,15,50,-110
"164",12,1,12,1,0,0,-30,20,20,120,-30
"165",14,3,12,19,1,-27,3,-23,-34,-29,29
"166",10,1,16,9,0,-10,-50,-20,35,-10,-30
"167",16,9,1,18,1,20,36,-30,-9,-20,94
"168",1,9,10,15,0,-10,-40,-61,-42,-38,-20
"169",15,1,14,1,0,20,20,36,40,26,0
"170",9,4,16,12,1,100,36,70,55,70,49
"171",18,12,4,1,0,30,35,10,-50,10,-75
"172",1,7,13,1,0,7,30,13,-45,30,0
"173",13,1,3,9,0,-35,-110,-30,-110,-30,-45
"174",3,1,9,11,1,12,18,-5,26,15,19
"175",13,1,3,16,1,55,-5,-40,-90,-25,-105
"176",16,3,7,9,0,10,34,20,-30,15,-29
"177",9,9,6,1,1,15,-30,-21,35,9,35
"178",2,1,13,1,1,15,24,46,91,34,40
"179",18,6,9,11,0,5,-70,-72,-38,-25,-44
"180",13,1,7,9,0,-18,9,-1,-14,51,-86
"181",15,6,4,1,1,-70,-50,-40,-45,0,5
"182",14,1,15,9,1,5,40,26,10,36,8
"183",14,1,3,12,0,-38,-68,-28,-25,-30,-46
"184",2,13,14,9,0,-15,30,-15,-25,5,-5
"185",18,1,15,1,1,-5,19,-5,-8,-35,1
"186",7,1,1,15,1,28,19,-1,50,26,23
"187",1,1,1,12,1,34,80,10,25,40,45
"188",16,12,18,9,0,35,100,80,-5,-55,-5
"189",16,1,4,19,1,20,40,-2,-55,-67,-66
"190",6,1,11,1,0,32,2,12,-4,-22,-77
"191",1,1,7,1,0,-9,6,32,-55,-35,-58
"192",18,1,4,1,1,6,-12,18,45,19,19
"193",3,5,18,1,1,47,99,67,59,44,50
"194",13,9,9,4,0,-85,-10,-55,-39,-59,10
"195",13,9,16,6,1,33,-20,-75,-30,-80,51
"196",1,8,4,1,0,-10,20,-5,-60,-40,-70
"197",15,6,13,1,0,-7,-30,5,60,55,-35
"198",4,9,4,1,1,5,-25,5,20,10,50
"199",1,15,17,10,0,11,-45,-90,45,26,55
"200",2,13,18,1,1,17,69,12,-16,29,85
"201",16,13,7,1,0,-38,-56,-35,-23,-12,-54
"202",1,7,6,18,0,10,-20,-13,-100,25,-27
"203",13,9,15,9,1,11,22,-5,-33,-10,4
"204",14,1,18,4,0,30,10,-20,-30,5,-35
"205",16,1,13,1,0,-80,-115,25,-35,-20,-70
"206",10,1,18,1,1,56,52,60,60,-14,7
"207",16,1,1,18,0,25,66,35,-9,-15,-11
"208",9,11,18,3,0,-27,-50,8,-45,20,-57
"209",9,8,5,1,0,-10,-50,5,25,15,-10
"210",15,9,1,11,1,12,-37,0,43,0,67
"211",15,1,1,18,0,4,-45,35,-45,35,-4
"212",7,7,18,1,1,41,39,36,39,36,43
"213",12,1,16,19,1,23,8,43,91,39,15
"214",1,1,9,15,0,-15,-35,-45,-150,-75,-85
"215",16,11,16,19,0,36,-39,-13,6,42,-32
"216",9,1,11,4,1,10,-10,10,55,55,35
"217",1,1,1,8,1,10,40,45,5,15,25
"218",7,12,5,1,0,16,55,23,30,-23,-12
"219",1,7,11,10,0,21,111,65,5,55,40
"220",1,9,1,15,1,20,15,-49,60,-29,18
"221",14,1,7,1,0,-35,-35,-35,-50,-25,-75
"222",13,9,1,1,0,-20,-75,-57,-15,-32,-23
"223",18,1,6,3,1,-15,-32,-13,-4,9,10
"224",18,1,18,1,1,40,-13,-25,55,30,48
"225",13,1,7,7,0,-70,-78,-30,-60,-25,25
"226",1,5,18,1,1,-60,12,0,-13,-35,43
"227",9,1,5,1,1,-20,-2,85,32,40,7
"228",11,9,13,9,1,35,35,95,14,44,25
"229",2,9,9,9,1,-24,51,51,41,44,19
"230",13,9,10,9,0,-54,-28,-23,-32,-12,-1
"231",13,6,16,1,1,33,-45,21,30,86,30
"232",10,13,16,1,1,5,-3,-25,72,25,5
"233",13,1,11,1,0,-15,-70,-70,35,-15,0
"234",15,1,16,18,1,10,-7,-88,78,-18,75
"235",15,1,13,1,1,-3,55,9,75,9,15
"236",14,1,9,1,1,80,33,-7,43,-7,30
"237",13,9,18,1,0,25,16,-10,2,0,-3
"238",18,12,16,7,0,4,-44,-5,-7,-25,-73
"239",6,16,13,1,1,0,-30,5,0,-45,40
"240",6,1,18,15,0,5,35,20,-40,-70,-60
"241",9,11,13,9,0,-11,25,77,-34,33,-7
"242",11,8,1,19,1,60,150,128,100,38,25
"243",13,9,7,9,0,-22,-13,-25,-25,-21,-14
"244",1,11,12,19,1,-10,19,35,24,55,11
"245",3,16,3,12,1,-28,0,5,80,35,8
"246",15,1,16,4,0,34,-66,-34,38,36,-42
"247",6,1,16,12,1,10,10,-55,15,25,60
"248",6,1,1,18,1,-25,5,-45,-25,50,30
"249",10,15,16,19,1,45,60,23,32,65,45
"250",9,4,17,17,1,80,10,-80,60,40,40
"251",1,19,13,1,0,-70,-130,-78,-30,-58,-35
"252",2,1,13,9,1,55,10,80,30,100,5
"253",18,1,18,9,0,10,23,18,-2,18,-21
"254",1,9,12,1,1,14,0,-20,-5,-30,36
"255",13,9,16,4,1,-47,-36,-74,-34,-24,4
"256",6,1,3,1,1,4,18,19,5,70,19
"257",15,6,15,1,0,15,25,50,-5,65,0
"258",13,1,12,1,1,35,60,40,-5,40,30
"259",12,1,15,1,1,-154,17,-8,32,2,11
"260",6,1,15,1,0,-34,-50,-60,-134,-60,-105
"261",1,15,15,7,0,-66,-155,-70,-134,-80,-80
"262",18,7,5,1,1,56,52,25,89,25,88
"263",10,15,11,1,1,40,0,35,60,20,-70
"264",7,1,1,1,0,-37,-45,-11,15,-11,-45
"265",13,9,12,1,1,-33,-33,-18,-20,-38,15
"266",12,1,18,1,0,1,6,33,-51,-21,-69
"267",3,16,1,18,1,9,-30,-15,10,15,11
"268",16,12,6,18,0,10,-25,42,-85,-5,-67
"269",13,1,7,9,0,-5,-20,-20,10,-10,0
"270",6,1,11,1,0,40,65,28,0,65,-8
"271",15,1,15,1,1,35,15,15,35,45,35
"272",1,15,4,10,0,10,5,-27,-55,-22,-46
"273",4,19,15,10,1,-30,-45,47,-45,-23,16
"274",16,4,13,9,1,-18,71,69,-7,-37,1
"275",18,1,7,16,0,-10,-24,-17,-69,-30,-59
"276",3,12,7,7,1,44,22,69,3,43,14
"277",13,1,15,1,0,30,-15,-10,-40,-35,-90
"278",15,6,11,1,1,-52,-25,-25,25,15,10
"279",16,3,1,1,1,55,119,115,75,90,51
"280",6,1,1,1,0,37,45,15,-2,10,0
"281",13,1,17,16,0,-15,10,-10,-55,-10,-20
"282",1,1,13,1,0,12,5,14,-5,-16,-45
"283",14,4,1,1,1,27,40,50,70,98,9
"284",15,1,9,15,0,18,37,18,-28,13,-32
"285",15,1,18,16,1,-20,0,-35,25,15,10
"286",15,1,10,15,1,61,100,15,119,55,110
"287",10,1,5,1,0,-30,-10,50,-10,-90,0
"288",13,1,16,9,0,15,-25,40,-20,-5,-30
"289",17,12,15,1,0,10,85,180,-70,35,0
"290",13,1,9,15,0,20,15,0,-115,-40,-40
"291",15,1,14,7,0,2,-33,5,-13,50,-18
"292",10,15,11,3,0,-35,-47,-15,60,35,-2
"293",18,1,14,9,0,-45,25,20,-40,-50,-40
"294",7,1,11,18,0,-70,-90,-20,12,-5,-28
"295",7,7,15,1,0,40,23,-105,0,-105,-35
"296",18,9,18,3,0,23,30,12,-43,29,-41
"297",13,9,12,12,1,26,15,5,62,12,41
"298",13,9,4,1,0,6,-10,-35,-43,-38,-44
"299",18,12,18,1,0,65,11,13,41,21,-3
"300",10,15,13,9,1,35,32,40,60,62,18
"301",14,2,13,9,1,-12,-15,35,-28,-7,5
"302",18,7,16,12,1,56,27,-70,99,45,38
"303",9,11,10,4,0,15,-10,47,-87,-10,-91
"304",1,11,1,9,0,0,14,35,-11,25,-34
"305",15,1,18,13,1,-80,10,10,10,-5,120
"306",7,16,10,15,1,15,7,9,34,20,44
"307",13,11,4,8,1,30,35,-37,-45,-37,9
"308",18,4,15,1,1,15,70,60,25,15,25
"309",16,9,18,1,1,27,84,32,9,39,110
"310",1,1,1,15,0,-28,-125,1,10,-39,-120
"311",3,9,16,16,1,5,-25,5,15,40,10
"312",6,16,16,13,1,-63,23,13,-19,-7,42
"313",15,1,4,14,1,36,7,32,29,67,10
"314",10,1,4,1,1,15,30,25,10,20,-90
"315",16,19,16,19,0,-42,-25,-25,1,-41,-13
"316",15,7,15,1,1,30,165,55,87,45,106
"317",18,1,12,1,0,-6,-15,-5,-51,-32,-21
"318",7,7,13,1,0,11,34,11,39,6,-7
"319",11,3,13,9,1,40,42,30,25,30,12
"320",12,1,18,1,0,0,4,-10,-63,-10,-57
"321",14,7,3,16,0,-32,-69,-60,-99,-80,-60
"322",13,1,2,9,0,0,0,27,-25,27,-14
"323",4,9,13,1,0,15,-5,25,60,30,-15
"324",9,1,13,9,0,4,30,-5,28,-2,-11
"325",3,1,18,1,0,10,11,-5,-54,-25,-2
"326",18,3,18,1,1,6,54,-28,14,-36,45
"327",3,9,18,11,1,35,95,80,60,20,70
"328",16,12,2,1,0,39,70,93,5,28,-21
"329",2,8,17,16,1,35,35,10,105,30,85
"330",18,1,10,1,1,5,30,14,-26,-2,13
"331",16,13,10,1,0,48,-21,9,1,29,-43
"332",10,15,9,9,0,-15,30,51,50,46,-20
"333",10,15,15,1,0,-45,-43,-35,-23,-45,-12
"334",2,1,16,13,1,-7,31,40,68,27,79
"335",12,12,5,1,1,32,65,12,-42,-94,5
"336",1,9,14,4,0,5,5,12,-17,-21,-4
"337",4,1,15,10,0,-15,-45,0,-40,-35,60
"338",10,1,13,6,1,-40,53,43,53,38,81
"339",2,1,10,1,1,-25,-15,-11,-12,-20,14
"340",15,9,13,9,0,0,-15,5,34,9,-5
"341",2,8,13,1,1,-14,15,-10,45,10,34
"342",10,13,7,7,0,10,-68,-5,-38,5,-40
"343",10,12,7,1,0,22,33,30,-6,-15,-44
"344",2,9,13,1,1,66,71,35,71,38,39
"345",4,1,2,16,0,4,-17,-3,47,15,-18
"346",18,1,3,9,0,-19,-97,-82,-63,-28,-86
"347",14,1,15,7,0,-26,-95,-18,-94,-18,-55
"348",4,1,12,1,1,-15,3,-105,51,33,42
"349",18,12,13,9,0,55,30,55,35,35,-25
"350",4,6,4,1,1,22,-2,25,31,35,25
"351",18,1,13,1,0,-10,34,45,29,10,-63
"352",12,19,17,16,0,30,-55,-40,0,0,-5
"353",18,15,1,1,0,-15,25,35,-45,-5,-60
"354",5,1,4,1,0,-12,-23,-25,-52,-25,-32
"355",15,1,10,1,0,41,-34,0,52,30,-7
"356",18,12,14,12,0,-26,-57,-32,-60,-50,-70
"357",14,1,13,16,0,-54,-20,-37,-88,-88,-40
"358",1,15,1,1,0,5,-4,5,-4,-20,-1
"359",15,1,10,1,1,-48,-25,68,-22,49,27
"360",10,7,18,17,1,17,-18,-61,7,64,76
"361",18,1,17,16,1,-5,29,5,39,-5,2
"362",10,1,7,1,0,35,5,68,10,-35,-43
"363",4,1,4,18,1,35,10,0,-50,35,50
"364",14,7,14,2,1,43,56,-25,56,10,20
"365",1,11,12,1,0,9,3,20,-25,0,-2
"366",1,11,7,1,0,10,-26,30,14,40,-54
"367",18,1,12,12,0,-30,-50,0,10,20,0
"368",3,8,1,9,0,14,44,14,34,64,-5
"369",1,1,6,1,0,5,-50,0,-15,-25,-25
"370",13,1,11,1,1,-70,-76,-80,-36,-36,10
"371",1,15,17,9,0,-25,-20,-100,0,-30,-40
"372",10,1,13,1,1,-24,10,-27,2,-18,22
"373",14,1,15,1,0,-15,-10,-116,-30,-106,-35
"374",10,1,7,1,0,-19,-37,2,-50,-18,-63
"375",1,9,13,7,0,0,-71,-49,21,-51,-40
"376",3,12,14,12,0,-32,-22,-42,-35,-40,-34
"377",11,8,7,1,1,62,139,120,100,25,25
"378",10,1,18,12,0,-70,-120,-80,-65,-80,-40
"379",17,10,10,13,0,-45,-52,-5,-97,-68,-2
"380",15,1,16,19,0,20,-10,0,40,35,0
"381",16,19,7,9,0,-60,-20,0,-70,-40,-35
"382",5,1,1,15,1,-1,13,-11,36,54,7
"383",1,15,13,9,0,-10,5,-10,4,10,-13
"384",15,1,18,9,1,-15,-10,-15,50,25,5
"385",18,1,3,13,0,-75,-55,-26,-126,-52,-52
"386",15,6,18,6,1,-50,5,-5,50,40,20
"387",3,1,10,1,1,3,20,18,-30,18,2
"388",10,15,1,17,1,10,-3,-22,45,45,5
"389",1,9,13,1,1,25,32,15,70,5,14
"390",15,1,7,19,1,-40,-75,-90,-10,-20,35
"391",11,17,18,1,0,15,20,30,-20,-20,-65
"392",5,1,10,1,0,-26,-22,-36,-49,4,-48
"393",18,7,12,1,0,10,15,15,-10,10,-10
"394",15,1,18,7,1,-16,53,-20,-4,-20,7
"395",14,9,4,4,1,-5,-5,-25,-95,-30,85
"396",15,1,13,1,0,36,-20,10,27,15,-66
"397",17,10,14,1,0,24,50,106,5,-5,-20
"398",10,9,15,1,1,34,28,33,-53,27,21
"399",18,12,7,14,1,9,17,13,-44,-1,-71
"400",1,9,1,18,0,12,-15,-62,46,2,-43
"401",6,16,4,1,0,-5,35,25,-30,-10,-30
"402",1,11,12,1,0,24,9,35,14,45,-8
"403",7,1,10,15,1,1,35,0,-40,-10,35
"404",9,11,1,9,1,15,65,92,18,-5,44
"405",2,8,6,1,0,-40,-45,-55,40,0,25
"406",4,9,10,1,1,-11,-13,12,49,49,29
"407",13,12,16,1,0,0,-79,-53,-10,-3,53
"408",18,7,18,15,1,11,2,25,49,-30,8
"409",11,17,5,1,1,37,75,62,-57,-99,-35
"410",18,1,12,12,0,-46,-64,-12,11,16,-30
"411",18,1,3,9,0,-30,-65,-50,-61,-27,-62
"412",13,1,11,1,0,-45,-100,-100,-60,-50,-15
"413",11,1,16,6,0,40,-40,10,-100,-50,-60
"414",1,10,18,11,1,-39,60,15,-10,-20,10
"415",1,9,12,1,0,-65,-87,-142,-14,-4,42
"416",16,13,7,9,0,45,-7,-6,-10,7,-42
"417",4,1,9,11,1,6,-16,0,36,25,94
"418",16,1,10,1,0,-3,65,-30,-57,-48,-27
"419",18,17,7,9,1,-7,-18,30,9,33,-49
"420",13,1,5,1,1,60,90,30,0,30,35
"421",7,9,13,9,1,66,85,50,75,119,34
"422",5,1,12,1,1,-11,-31,-46,29,44,14
"423",13,1,11,9,1,0,1,-21,19,31,20
"424",7,1,18,12,1,-25,-12,-27,13,-27,41
"425",2,7,10,1,0,-50,-25,-30,-65,-30,-52
"426",7,1,7,16,1,-46,29,-47,-50,-35,18
"427",10,15,1,1,0,-35,-21,9,-35,5,-100
"428",6,1,18,16,1,45,65,10,-45,-20,-70
"429",10,1,4,1,0,-15,-7,4,-60,-5,-74
"430",2,8,10,15,1,5,30,-5,30,-20,10
"431",1,15,11,9,0,-24,-35,-50,-70,0,-26
"432",3,9,7,7,1,35,60,70,35,30,65
"433",9,15,18,3,1,-35,-90,-29,100,-35,49
"434",14,12,6,16,0,30,-8,2,-5,0,-24
"435",10,15,14,1,1,25,10,21,85,51,35
"436",6,1,11,1,0,20,30,-45,-5,-15,0
"437",18,1,18,16,1,-52,5,-45,-50,-45,5
"438",13,1,9,11,0,-4,-16,-30,-4,-15,34
"439",6,1,12,1,1,-50,-32,-134,11,4,37
"440",1,9,4,14,1,11,-3,17,-6,67,15
"441",16,1,6,18,0,-15,-35,15,-90,-45,-75
"442",16,1,11,18,0,-25,0,70,10,15,-63
"443",7,9,10,15,1,33,32,22,9,4,81
"444",9,1,11,9,1,-15,-35,-65,60,30,10
"445",1,1,1,15,0,-20,-68,20,-18,-50,-46
"446",13,1,18,3,1,10,-40,20,-25,20,10
"447",13,1,5,1,1,3,32,-1,-24,8,11
"448",7,12,16,12,1,15,5,-45,60,30,5
"449",17,1,9,11,1,26,9,80,31,95,4
"450",3,16,7,1,1,15,-10,10,50,30,5
"451",10,1,18,16,1,-25,-15,-5,10,-35,60
"452",18,3,3,1,1,29,76,25,60,15,55
"453",13,1,15,9,0,183,-52,-50,-42,50,-64
"454",7,9,10,15,1,25,10,40,40,40,35
"455",12,1,18,12,1,-25,25,5,35,5,26
"456",13,9,8,1,0,-39,-45,-50,-80,-60,-36
"457",18,1,1,15,1,9,19,6,19,-4,26
"458",18,1,11,10,0,-39,-71,-18,3,-17,-11
"459",17,16,10,9,1,65,65,60,65,45,50
"460",18,9,18,6,1,-25,0,0,40,70,10
"461",15,1,13,6,1,-18,13,-56,-7,-11,17
"462",2,1,2,1,1,5,-60,30,20,30,10
"463",10,1,14,9,0,-15,-40,-10,-25,-15,-55
"464",18,15,13,1,0,-70,-90,-35,-15,55,0
"465",1,9,10,9,1,-5,-5,2,-5,-13,20
"466",14,3,7,9,0,25,-11,-11,-88,-54,-16
"467",17,7,10,15,1,46,40,74,15,7,78
"468",7,7,4,8,0,14,13,-55,-27,-55,-5
"469",6,1,17,16,1,13,56,-36,11,-51,12
"470",18,17,13,1,0,-76,-52,33,-12,0,-68
"471",9,1,1,5,1,10,13,10,28,35,20
"472",18,1,7,16,1,-75,10,-35,-70,-80,5
"473",2,1,3,8,0,-60,-55,-60,-70,-80,-25
"474",2,9,17,17,1,60,-5,5,15,55,50
"475",18,1,1,9,0,-11,3,18,-15,-2,-2
"476",14,3,13,9,1,0,3,-8,-9,-9,3
"477",4,1,7,1,0,26,33,27,15,20,-25
"478",15,1,6,16,1,15,25,-15,45,-15,15
"479",14,1,10,3,0,-29,-28,-3,-35,-5,-15
"480",14,19,14,4,0,-15,-15,-30,-37,-63,-14
"481",18,18,10,15,1,39,37,39,46,36,15
"482",10,1,1,1,0,10,-36,-15,0,-5,-49
"483",17,7,10,1,1,36,22,65,45,17,77
"484",1,11,16,11,0,-51,-11,-42,-36,-52,-18
"485",4,9,7,1,1,32,26,27,45,25,20
"486",16,13,18,1,1,34,-21,-15,17,28,11
"487",12,1,13,9,0,-45,-54,10,-25,-40,-52
"488",2,1,13,1,0,10,110,25,55,15,0
"489",15,6,10,1,1,2,20,17,103,78,48
"490",15,7,3,12,1,10,95,50,25,70,68
"491",15,1,13,9,0,-18,-15,-20,-5,15,-11
"492",18,13,18,1,1,0,30,116,41,-3,27
"493",13,1,13,1,1,-45,-35,-55,-65,-55,30
"494",5,1,1,1,1,15,35,15,20,10,10
"495",13,9,10,1,1,0,5,10,-30,25,20
"496",3,9,4,10,1,45,85,3,15,3,9
"497",13,11,18,11,1,20,30,20,0,0,45
